real_name,DRF,DRP,DWC,LCF,gfDWC,gfEMC,goDWC,goEMC,cDWC,cEMC,fDWC,fEMC,oDWC,oEMC
18,55.35961533,11.7200432,19.88154152,1,4.362190513,2.597712918,2.526511799,0.890327185,2.956868507,8.407079348,1.492137056,1.532050039,3.304149354,9.589152013
19,7.538189272,83.93871485,16.23568704,1,2.520743841,9.508563589,0.203649433,8.29448927,4.769887393,3.213589918,4.498423177,5.46634656,0.233486251,8.360009634
20,82.38203101,78.51952218,11.54531757,1,0.276176465,9.150958445,2.800556339,9.245282679,1.927267916,2.602031645,4.536288253,6.727373827,3.097177659,5.218291913
21,38.9911581,30.67901936,2.104626807,1,3.999318185,3.152875997,2.542881027,0.258772775,4.751474449,2.926680325,3.505760358,7.733231205,1.285746051,2.552137998
22,96.02802473,8.974676924,15.12067281,1,4.847619461,0.701995004,2.676963649,5.486047341,4.657065106,2.740526602,1.704571901,4.492748997,0.659215334,2.596971949
23,24.87189725,33.13021274,11.41769792,1,2.413201511,5.413077155,0.833661715,3.19095953,3.47810963,8.183407618,1.42814624,1.783835133,2.431542736,6.335521046
24,69.9220647,21.56429783,5.019318345,1,3.496773032,4.052132493,2.504440777,1.533528079,1.578060333,3.959634862,2.128118265,4.183768768,2.375050437,3.669355856
25,79.71723583,96.59627282,18.79640995,1,0.119467009,5.436993929,4.613364003,2.621152268,3.869179887,2.991121693,2.875608503,7.366626686,2.76859419,1.48788825
26,84.96597197,75.76021063,1.367058835,1,3.730347362,6.106524482,0.157317957,5.37930234,1.890133071,1.937596874,4.278525144,7.681967216,4.513327199,0.639088365
27,82.73700787,95.32920309,4.825849442,1,0.493099953,8.275105928,4.533260976,2.400500923,0.285464968,7.120555058,2.024846849,2.048206649,2.906750773,5.839367017
28,32.45012299,71.61665415,4.143541548,1,4.505389225,3.234212113,2.670431155,7.282809871,2.747964095,0.821771086,4.0361693,9.364027801,0.63052294,6.739950833
29,66.42135297,13.48674947,7.437113566,1,4.843338346,1.549670052,2.570949683,0.401233867,0.785341222,5.695913401,0.572511203,8.227786708,1.703595687,9.32102959
30,74.57727583,60.39874445,16.39659803,1,4.531513432,1.743244652,2.206743622,4.15074711,0.020576807,7.133114323,1.397765937,6.427779301,4.194577098,1.255090526
31,98.76733161,22.81875642,1.873990923,1,0.943606196,4.367622006,0.210156378,6.240629988,0.865122652,7.78065208,4.306265599,7.407539232,4.510148781,2.565631505
32,61.95558412,31.68383366,18.62223469,1,1.447174732,3.51769752,1.02644072,3.985560702,3.68474354,1.147074002,1.764589896,4.171340904,4.774785961,9.052438546
33,27.66342707,62.35176324,0.856415886,1,4.215235939,8.869270336,3.588227795,9.064021366,2.863719677,2.230082714,1.709903878,1.891529057,2.369942013,4.240176824
34,97.40469819,23.80538573,10.34731982,1,3.327932383,4.000192473,2.816008788,5.02115793,4.966463055,6.558844879,0.04203233,8.318644736,4.059570622,8.288098398
35,80.84671957,47.56632577,7.660536561,1,4.557211428,7.886122274,4.816065968,0.170171025,2.203146705,3.741601439,2.09836394,2.182578354,1.52093187,2.382861104
36,50.39675977,17.78575096,18.42061223,1,0.989520893,6.824667414,4.986086943,6.188895493,1.126967047,9.638175776,4.923835377,9.609469882,2.522825379,3.277317487
37,45.54310995,4.484715382,11.29577767,1,1.706207698,7.703231758,3.232028948,7.464977634,4.144842344,4.571263,3.509982428,6.386252219,1.246656511,4.690063837
38,63.66732379,30.052115,0.813042203,1,4.992696984,5.907993113,1.186124976,6.020646673,4.828860569,2.772422671,2.800263664,1.962928694,4.127060286,7.962830809
39,14.96972216,63.22337747,17.22406453,1,3.236071581,0.446122491,1.870456924,1.292000856,2.21826517,3.54066277,4.233150974,8.444785361,3.588902612,2.130048584
40,19.55442292,16.53907286,5.5674143,1,4.695154835,8.549675051,4.215034091,9.521657548,2.146947213,5.666604154,3.495491109,0.951350539,1.591949319,0.067291867
41,71.08655601,31.31926692,11.93582719,1,4.731760705,4.886763291,1.172565017,7.082287489,0.125853557,1.922721169,4.026066356,4.106063353,2.949746615,6.377911284
42,3.733142027,89.97658674,1.003895532,1,2.735673485,7.006669604,1.822003976,4.939078859,1.355742249,1.454980408,3.350691332,3.387656954,2.539217452,8.003047745
43,67.84935926,15.23790017,18.3555699,1,0.954728932,8.574629642,1.576735385,4.272265441,0.921900882,3.856740986,2.067915274,5.571988225,4.825054478,6.495922835
44,99.48869498,27.65709374,13.8395507,1,1.076961167,8.215798391,1.256434675,6.387776641,2.066484438,0.467100311,3.758518742,6.220659777,2.848877037,1.973466671
45,73.93619818,37.76757606,8.571927779,1,4.475591928,8.766212742,4.830177084,6.415041224,2.056749572,8.019219097,4.411370869,9.459441394,3.427512908,0.397301006
46,84.82181056,5.308104063,1.50152758,1,3.786859453,3.130589673,0.29793822,4.367627258,4.121512227,5.857993876,1.748447663,7.840294123,2.071874282,4.943077933
47,28.11996718,73.96287321,18.9100125,1,4.447914352,9.453840234,2.834424136,8.579242722,2.976719786,0.08005019,1.452138484,8.931059922,2.359354954,8.310437748
48,26.69081525,49.93143318,8.060016703,1,4.260882675,0.284017968,2.383209743,7.016451268,4.31917118,6.531497779,3.364996835,8.196992151,4.566125507,6.977929681
49,39.8527172,24.77671557,2.339378977,1,3.684928385,2.70745108,1.279763303,9.681723581,3.060025027,9.397468984,3.215526216,9.111278935,2.279081971,2.502075676
50,12.08846335,21.96914807,5.182933784,1,2.868812848,2.114821289,3.210753433,8.821003746,4.470393195,0.02995299,2.812085952,7.594080983,2.230516001,0.645909552
51,77.90706485,33.91411501,10.8388348,1,2.205627695,2.934656751,1.617743889,6.067273834,3.17678257,7.008362108,2.143681715,2.490358383,4.541127079,7.241915761
52,48.4851566,96.79992429,0.081917378,1,0.871936705,9.949981104,0.968580897,3.694668913,1.956944011,1.82206823,1.833336153,2.270123512,4.25161247,4.683521062
53,61.64233824,32.78526517,11.49893893,1,0.141295647,7.234177734,2.944310415,8.252838751,1.018215097,9.164676108,4.936621322,2.638204832,0.955179353,6.699829803
54,50.20902244,6.264209461,6.644290085,1,4.371279763,1.530901261,4.659832778,6.151531873,2.417382573,5.145674749,1.037243316,2.540989612,0.775177614,9.300692332
55,75.92506011,38.45196594,18.94919412,1,1.304300512,1.18890418,2.417022907,9.926219545,2.573222351,6.611206456,1.289501132,5.307879855,0.138894658,3.599388923
56,4.498574007,65.15016607,6.799701504,1,2.987442541,8.619803428,3.524769119,4.68982902,0.81971165,9.450407901,1.851846184,1.030686701,0.303988494,3.215141092
57,53.02679349,24.28070964,16.28440451,1,0.515915523,2.471504803,1.310889101,3.129603467,0.082486582,2.702345451,2.960213815,8.121563345,4.48071609,4.115797605
58,20.82496114,37.51508264,2.837164513,1,4.751774287,9.698199773,2.872770993,4.973389964,4.248194675,4.723167387,1.09196126,9.348521105,0.360248923,9.168095233
59,78.32600597,44.50853491,10.46432532,1,2.673525989,8.359270431,2.185118009,2.310644909,0.796572992,5.172973035,0.534057517,2.023933471,1.579961454,3.817301322
60,49.07093937,68.33488185,0.976440839,1,0.655239581,9.443381573,4.900373466,5.914764328,4.551603944,5.440765727,2.937076378,9.080528436,1.795257474,7.659150702
61,70.34516502,56.55339272,19.31894771,1,3.013278181,5.12608883,0.479022907,1.572278875,0.042348996,3.903678018,3.47883609,7.985736276,4.212720413,7.567303731
62,37.31881687,40.66263236,18.86299892,1,2.88486334,9.536377819,3.712484725,8.228063184,4.36843221,5.619779676,0.690768469,0.255059407,2.211112086,2.000141522
63,0.760993204,72.9873244,9.788659739,1,0.739064272,4.864702494,3.324611875,8.147317869,3.845279158,5.940916895,4.550362927,6.4003544,4.168862698,3.729056821
64,69.52186212,11.46962637,7.527175967,1,0.71698412,6.561863486,1.915579642,2.002929323,2.319064929,1.911586968,0.762223733,2.255763792,2.262433741,2.949376551
65,30.65170793,56.7928981,2.93891772,1,3.244881217,2.551386411,1.521351407,1.180219763,0.425054044,1.366016702,0.719221554,4.948451387,2.506926798,5.727215921
66,97.75728487,69.08671341,3.621586031,1,1.898656869,9.935148304,2.350094722,5.578506658,4.033032815,8.458428261,1.668073851,0.076670059,4.339038381,8.187363626
67,49.00822205,29.4923828,13.97777022,1,0.779223086,2.827623882,3.15349181,6.861093218,1.077552195,4.103140472,4.203069739,8.021942654,3.673594687,9.631653724
68,62.55425627,65.71564732,18.48595299,1,3.964483635,1.047833936,0.051691552,4.073582516,0.526463712,1.188939606,1.061636452,2.997463991,0.400861149,8.440571262
69,3.18502616,87.51717259,1.975892183,1,2.41053261,8.659603835,2.804817399,7.451129457,3.668246869,8.61375912,1.17118191,9.513865236,0.545785182,4.864043151
70,90.3057549,71.28957768,2.45053437,1,3.181080653,7.933084653,4.766298815,7.421578465,3.585306046,0.760574908,1.181371667,7.964326463,4.71272572,8.94359257
71,41.25927631,78.103726,13.302966,1,1.945769079,9.020261647,1.289693243,5.108390619,0.600389003,3.911409138,4.437445827,3.088905912,4.999841778,6.835398842
72,78.30874087,99.58241042,16.45882149,1,2.453662602,0.468452802,2.584699657,2.848643646,0.300962654,7.648528313,4.432165024,1.15761958,0.299747186,7.068782321
73,63.7640506,35.12915901,8.277943546,1,4.470467954,0.146395729,0.965115875,8.035491546,1.503027142,4.265993157,0.729756639,9.377896763,0.983572692,5.360518546
74,86.96146343,60.1610451,15.87009507,1,1.713266167,7.9979281,1.884631524,8.916491611,3.820560427,3.126219485,1.135611274,7.934315305,0.920933347,6.728412425
75,83.56844232,23.19139823,1.449500613,1,2.891612757,4.446821221,2.196954015,1.756766502,1.527822693,4.734595089,3.939139077,4.020656575,3.368036549,6.017385582
76,7.222391399,7.442676685,9.279187245,1,2.830203284,6.614118386,0.456224632,1.630423742,0.245385396,4.058254135,2.384376974,2.090599961,4.524787046,4.475663006
77,89.52708786,1.454263697,12.37008635,1,0.590785609,5.794290103,2.251983711,0.247505008,4.616666476,0.549400274,1.193208844,4.794844183,1.320027794,4.589065971
78,32.25893426,2.720600936,0.617996795,1,4.797239294,7.792984448,1.474079933,0.824189783,0.893084874,8.101734177,1.51229612,3.351103355,4.865213238,3.250661879
79,7.721844988,38.81949766,2.181800069,1,2.183645698,1.433947805,4.05588875,4.671655157,0.910146232,3.250457698,0.812081936,5.701917152,3.842900538,5.898345243
80,15.55366694,15.43939537,4.329479619,1,1.006162835,3.901011394,0.37204048,6.647594131,3.242717302,7.519554244,4.523372425,9.235207775,1.437520271,6.202266064
81,81.35380813,84.80986055,1.439608666,1,1.318691874,7.611636307,1.530811252,0.325918474,3.128133634,4.015449473,2.978444226,8.84520667,3.723466631,1.548455419
82,0.126474814,28.31712866,1.795077218,1,2.250697857,5.72339007,1.109269876,1.719516204,3.598260118,9.02050818,2.554477382,9.294694812,3.29048991,9.497771561
83,78.86167222,99.8846898,5.602925625,1,0.912431823,3.122434789,2.299013938,4.657489029,1.902137138,4.773163459,0.103847911,5.974374187,2.349651378,1.743902091
84,75.66432334,81.35476831,0.122996962,1,2.2748011,8.574197521,4.690909248,9.861030373,1.508766822,7.503743421,3.784407393,9.504950278,3.226701345,3.467418917
85,25.39727008,55.70697785,10.08022302,1,2.547890075,9.239916903,0.566572703,5.768951815,2.089978557,0.933654226,3.43107393,0.456259601,4.841830097,1.95936597
86,49.58398639,27.91718432,9.45899717,1,1.063607544,6.135344922,4.64300214,8.425726186,3.230544862,7.840793693,1.351705554,6.421412204,3.064730508,4.9888681
87,48.63762738,11.27718651,13.0795558,1,2.926761856,9.519890954,1.960124825,4.560105817,4.47840758,7.592540251,0.560593672,5.205881883,1.223763946,1.827298262
88,57.5247009,86.49831977,9.41478377,1,3.025641441,2.312533846,0.775369121,5.699087548,0.779670219,9.792452074,3.849127416,4.031977074,2.519296119,7.717598185
89,94.29852278,53.27632751,1.536733415,1,1.040810841,1.87271072,0.669917734,6.994909857,3.220850471,7.032851028,0.675771324,5.223586681,1.980729464,5.321988506
90,89.17944452,43.86448971,15.76231756,1,0.113337748,5.988558634,4.307264922,2.807861099,4.171530207,1.954613508,3.678406915,0.228293805,0.644408351,9.108532774
91,22.44883376,71.28145944,16.08073963,1,2.514537496,5.939793325,3.054226094,9.046046487,2.585021459,0.649848371,3.949321443,9.910080491,1.838548015,6.042381109
92,78.65582004,61.87612408,0.008484845,1,2.04455265,4.405169784,0.138128224,3.834691062,0.479711479,2.09704849,2.321280159,7.490037721,0.207222605,0.811989769
93,51.1427958,94.55459335,18.24750954,1,4.662578228,3.643064347,4.731522968,6.810196792,2.51236232,8.962850542,4.602429887,8.062566173,4.365984125,0.912577421
94,25.78476964,69.16877166,3.308675213,1,4.191636104,9.363590817,0.59853314,0.093953937,4.713660335,0.342846928,2.586730523,6.322626582,2.339466471,9.564825204
95,54.39543271,97.39540415,13.81955506,1,1.398896224,7.639466645,4.09725865,8.120657859,1.11581886,6.147504312,0.706313115,1.037159347,1.134086666,0.551372696
96,61.78988104,66.46004609,11.09468171,1,3.938906781,7.131032343,4.084585707,0.716334232,3.19883329,2.675852644,0.526118633,7.00724485,0.313439544,1.064282598
97,74.12739662,45.03969656,6.770690942,1,1.881933291,4.02512924,3.390831459,1.516315253,3.345206702,8.18643859,2.013887597,9.578005326,3.238416326,4.217164326
98,89.38746104,89.20528618,9.168904833,1,4.409980904,3.43903069,2.844482802,1.022087137,2.834283158,8.824374225,2.781834504,8.248067274,2.093281709,8.262016344
99,87.17897644,18.56969524,17.16066773,1,3.040239697,6.653291618,1.455102855,0.534414538,0.945336939,2.291801422,0.847413619,9.855463037,4.957506526,4.228393605
100,72.09983468,22.9376548,7.757371285,1,0.358794771,3.502357904,3.261986478,0.370192861,4.98307183,6.070643809,2.245460317,3.634403838,4.034799045,3.616468296
